canonical,aliases,meaning,partOfSpeech,domain,level,example,sourceTag,reviewStatus
khurumjari,,greetings / respect,greeting,daily,chat,,user-pasted-build9,needs_review
khoramchari,,hello / welcome,greeting,daily,chat,,user-pasted-build9,needs_review
huranba,,thank you,greeting,daily,chat,,user-pasted-build9,needs_review
kamdouri,,how are you?,phrase,daily,chat,,user-pasted-build9,needs_review
fare,,I am fine / good,phrase,daily,chat,,user-pasted-build9,needs_review
yamna nungai,,very happy / nice,phrase,daily,chat,,user-pasted-build9,needs_review
kari kouwe,,what is your name?,phrase,daily,chat,,user-pasted-build9,needs_review
eingondagi,,from me,phrase,daily,chat,,user-pasted-build9,needs_review
eihak,,I,pronoun,daily,chat,,user-pasted-build9,needs_review
ei,,I / me,pronoun,daily,chat,,user-pasted-build9,needs_review
nang,,you,pronoun,daily,chat,,user-pasted-build9,needs_review
adom,,you (respectful),pronoun,daily,chat,,user-pasted-build9,needs_review
ma,,he / she,pronoun,daily,chat,,user-pasted-build9,needs_review
eikhoi,,we / us,pronoun,daily,chat,,user-pasted-build9,needs_review
nakhoi,,you all,pronoun,daily,chat,,user-pasted-build9,needs_review
makhoi,,they / them,pronoun,daily,chat,,user-pasted-build9,needs_review
ishing,,water,noun,daily,chat,,user-pasted-build9,needs_review
chak,,rice / food,noun,daily,chat,,user-pasted-build9,needs_review
upaal,,tree,noun,daily,chat,,user-pasted-build9,needs_review
atiyaa,,sky,noun,daily,chat,,user-pasted-build9,needs_review
eche,,elder sister,relation,family,chat,,user-pasted-build9,needs_review
ima,,mother,relation,family,chat,,user-pasted-build9,needs_review
ipa,,father,relation,family,chat,,user-pasted-build9,needs_review
oja,,teacher,noun,daily,chat,,user-pasted-build9,needs_review
khongchatpa,,traveler / journey,noun,daily,chat,,user-pasted-build9,needs_review
nupi,,woman,noun,daily,chat,,user-pasted-build9,needs_review
nupa,,man,noun,daily,chat,,user-pasted-build9,needs_review
nao-tak,,infant / child,noun,daily,chat,,user-pasted-build9,needs_review
angaang,,child,noun,daily,chat,,user-pasted-build9,needs_review
kihom,,pineapple,food,daily,chat,,user-pasted-build9,needs_review
machu,,color,noun,daily,chat,,user-pasted-build9,needs_review
chaba,,to eat,verb,daily,chat,,user-pasted-build9,needs_review
thakpa,,to drink,verb,daily,chat,,user-pasted-build9,needs_review
chatpa,,to go,verb,daily,chat,,user-pasted-build9,needs_review
lakpa,,to come,verb,daily,chat,,user-pasted-build9,needs_review
tumba,,to sleep,verb,daily,chat,,user-pasted-build9,needs_review
houba,,to wake up / start,verb,daily,chat,,user-pasted-build9,needs_review
haiba,,to speak / say,verb,daily,chat,,user-pasted-build9,needs_review
yengba,,to look / see,verb,daily,chat,,user-pasted-build9,needs_review
paaba,,to read,verb,daily,chat,,user-pasted-build9,needs_review
eiba,,to write,verb,daily,chat,,user-pasted-build9,needs_review
tamba,,to learn,verb,daily,chat,,user-pasted-build9,needs_review
chetpa,,to hold firm,verb,daily,chat,,user-pasted-build9,needs_review
ama,,one,number,daily,chat,,user-pasted-build9,needs_review
ani,,two,number,daily,chat,,user-pasted-build9,needs_review
ahum,,three,number,daily,chat,,user-pasted-build9,needs_review
mari,,four,number,daily,chat,,user-pasted-build9,needs_review
manga,,five,number,daily,chat,,user-pasted-build9,needs_review
taruk,,six,number,daily,chat,,user-pasted-build9,needs_review
taret,,seven,number,daily,chat,,user-pasted-build9,needs_review
nipan,,eight,number,daily,chat,,user-pasted-build9,needs_review
mapan,,nine,number,daily,chat,,user-pasted-build9,needs_review
tara,,ten,number,daily,chat,,user-pasted-build9,needs_review
matam,,time,noun,daily,chat,Matam kayada leiri?,build9-curated-candidate,needs_review
matam kayada,,what time,phrase,daily,chat,Matam kayada?,build9-curated-candidate,needs_review
kayada,,how much / what time,question word,daily,chat,Matam kayada?,build9-curated-candidate,needs_review
kari matam,,what time,phrase,daily,chat,Kari matam-da lakpa?,build9-curated-candidate,needs_review
ngasi,,today,adverb,daily,chat,Ngasi meeting leiri.,build9-curated-candidate,needs_review
hayeng,,tomorrow,adverb,daily,chat,Hayeng lak-u.,build9-curated-candidate,needs_review
ngarang,,yesterday,adverb,daily,chat,Ngarang chatlammi.,build9-curated-candidate,needs_review
numit,,day / sun,noun,daily,chat,Numit asi phajare.,build9-curated-candidate,needs_review
numidang,,night,noun,daily,chat,Numidang-da tumba.,build9-curated-candidate,needs_review
ayuk,,morning,noun,daily,chat,Ayuk-da lak-u.,build9-curated-candidate,needs_review
nungthil,,afternoon,noun,daily,chat,Nungthil-da meeting leiri.,build9-curated-candidate,needs_review
numidangwairam,,evening,noun,daily,chat,Numidangwairam-da chatpa.,build9-curated-candidate,needs_review
minute,,minute,noun,daily,chat,Minute tara ngaiba.,build9-curated-candidate,needs_review
hour,,hour,noun,daily,chat,Hour ama ngaiba.,build9-curated-candidate,needs_review
laklibra,,are you coming?,phrase,daily,chat,Nang laklibra?,build9-curated-candidate,needs_review
chatlibra,,are you going?,phrase,daily,chat,Nang chatlibra?,build9-curated-candidate,needs_review
