canonical,aliases,meaning,partOfSpeech,domain,level,example,sourceTag,reviewStatus
kari,,what,question,chat,chat,,build11-chat-article-growth,needs_review
karino,,what is it,question,chat,chat,,build11-chat-article-growth,needs_review
kari oiba,,what happened,phrase,chat,chat,,build11-chat-article-growth,needs_review
karigumba,,why / because of what,question,chat,chat,,build11-chat-article-growth,needs_review
kadaida,,where,question,chat,chat,,build11-chat-article-growth,needs_review
kadaidano,,where is it,question,chat,chat,,build11-chat-article-growth,needs_review
kayada,,when / at what time,question,chat,chat,,build11-chat-article-growth,needs_review
karamna,,how,question,chat,chat,,build11-chat-article-growth,needs_review
kana,,who,question,chat,chat,,build11-chat-article-growth,needs_review
kanano,,who is it,question,chat,chat,,build11-chat-article-growth,needs_review
kayam,,how many / how much,question,chat,chat,,build11-chat-article-growth,needs_review
kayamnano,,how much is it,question,chat,chat,,build11-chat-article-growth,needs_review
adi,,that / then,particle,chat,chat,,build11-chat-article-growth,needs_review
adu,,that,particle,chat,chat,,build11-chat-article-growth,needs_review
asi,,this,particle,chat,chat,,build11-chat-article-growth,needs_review
madu,,that thing,pronoun,chat,chat,,build11-chat-article-growth,needs_review
masi,,this thing,pronoun,chat,chat,,build11-chat-article-growth,needs_review
makhoida,,to them,phrase,chat,chat,,build11-chat-article-growth,needs_review
eikhoida,,to us,phrase,chat,chat,,build11-chat-article-growth,needs_review
nangonda,,to you,phrase,chat,chat,,build11-chat-article-growth,needs_review
eigi,,my,pronoun,chat,chat,,build11-chat-article-growth,needs_review
nanggi,,your,pronoun,chat,chat,,build11-chat-article-growth,needs_review
magi,,his / her,pronoun,chat,chat,,build11-chat-article-growth,needs_review
eikhoigi,,our,pronoun,chat,chat,,build11-chat-article-growth,needs_review
nakhoigi,,your plural,pronoun,chat,chat,,build11-chat-article-growth,needs_review
makhoigi,,their,pronoun,chat,chat,,build11-chat-article-growth,needs_review
eibu,,me object,pronoun,chat,chat,,build11-chat-article-growth,needs_review
nangbu,,you object,pronoun,chat,chat,,build11-chat-article-growth,needs_review
mabu,,him / her object,pronoun,chat,chat,,build11-chat-article-growth,needs_review
pumnamak,,all / everything,quantifier,chat,chat,,build11-chat-article-growth,needs_review
khara,,some / few,quantifier,chat,chat,,build11-chat-article-growth,needs_review
