canonical,aliases,meaning,partOfSpeech,domain,level,example,sourceTag,reviewStatus
iphone,,iphone,noun,technology,chat,iphone asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
smartphone,,smartphone,noun,technology,chat,smartphone asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
charger,,charger,noun,technology,chat,charger asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
battery,,battery,noun,technology,chat,battery asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
screen,,screen,noun,technology,chat,screen asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
display,,display,noun,technology,chat,display asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
keypad,,keypad,noun,technology,chat,keypad asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
typing,,typing,noun,technology,chat,typing asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
type,,type,noun,technology,chat,type asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
autocorrect,,autocorrect,noun,technology,chat,autocorrect asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
predictive,,predictive,noun,technology,chat,predictive asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
text,,text,noun,technology,chat,text asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
username,,username,noun,technology,chat,username asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
voice,,voice,noun,technology,chat,voice asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
image,,image,noun,technology,chat,image asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
camera,,camera,noun,technology,chat,camera asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
gallery,,gallery,noun,technology,chat,gallery asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
file,,file,noun,technology,chat,file asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
folder,,folder,noun,technology,chat,folder asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
url,,url,noun,technology,chat,url asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
sim,,sim,noun,technology,chat,sim asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
esim,,esim,noun,technology,chat,esim asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
bluetooth,,bluetooth,noun,technology,chat,bluetooth asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
hotspot,,hotspot,noun,technology,chat,hotspot asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
security,,security,noun,technology,chat,security asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
cloud,,cloud,noun,technology,chat,cloud asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
forward,,forward,noun,technology,chat,forward asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
reel,,reel,noun,technology,chat,reel asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
follow,,follow,noun,technology,chat,follow asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
unfollow,,unfollow,noun,technology,chat,unfollow asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
block,,block,noun,technology,chat,block asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
browser,,browser,noun,technology,chat,browser asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
chrome,,chrome,noun,technology,chat,chrome asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
telegram,,telegram,noun,technology,chat,telegram asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
messenger,,messenger,noun,technology,chat,messenger asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
gmail,,gmail,noun,technology,chat,gmail asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
sms,,sms,noun,technology,chat,sms asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
otp,,otp,noun,technology,chat,otp asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
pin,,pin,noun,technology,chat,pin asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
qr,,qr,noun,technology,chat,qr asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
code,,code,noun,technology,chat,code asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
scanner,,scanner,noun,technology,chat,scanner asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
keyboard-height,,keyboard height,noun,technology,chat,keyboard-height asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
vibration,,vibration,noun,technology,chat,vibration asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
sound,,sound,noun,technology,chat,sound asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
theme,,theme,noun,technology,chat,theme asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
dark-mode,,dark mode,noun,technology,chat,dark-mode asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
light-mode,,light mode,noun,technology,chat,light-mode asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
emoji,,emoji,noun,technology,chat,emoji asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
sticker,,sticker,noun,technology,chat,sticker asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
gif,,gif,noun,technology,chat,gif asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
classroom,,classroom,noun,education-writing,formal,classroom asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
students,,students,noun,education-writing,formal,students asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
teachers,,teachers,noun,education-writing,formal,teachers asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
test,,test,noun,education-writing,formal,test asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
marks,,marks,noun,education-writing,formal,marks asi MayekAma database-da review candidate ni.,build13-researched-chat-growth,needs_review
