canonical,aliases,meaning,partOfSpeech,domain,level,example,sourceTag,reviewStatus
hakchang,,body,noun,health,chat,,build10-expanded-candidate-batch,needs_review
kok,,head,noun,health,chat,,build10-expanded-candidate-batch,needs_review
mit,,eye,noun,health,chat,,build10-expanded-candidate-batch,needs_review
nakong,,neck,noun,health,chat,,build10-expanded-candidate-batch,needs_review
khut,,hand,noun,health,chat,,build10-expanded-candidate-batch,needs_review
khong,,leg / foot,noun,health,chat,,build10-expanded-candidate-batch,needs_review
nung,,heart / inside,noun,health,chat,,build10-expanded-candidate-batch,needs_review
napu,,stomach,noun,health,chat,,build10-expanded-candidate-batch,needs_review
machin,,face,noun,health,chat,,build10-expanded-candidate-batch,needs_review
manam,,smell,noun,health,chat,,build10-expanded-candidate-batch,needs_review
ayaba,,pain,noun,health,chat,,build10-expanded-candidate-batch,needs_review
anaoba,,sick,noun,health,chat,,build10-expanded-candidate-batch,needs_review
naba,,painful,noun,health,chat,,build10-expanded-candidate-batch,needs_review
hospital-da chatpa,,go to hospital,noun,health,chat,,build10-expanded-candidate-batch,needs_review
doctor,,doctor,noun,health,chat,,build10-expanded-candidate-batch,needs_review
medicine,,medicine,noun,health,chat,,build10-expanded-candidate-batch,needs_review
temperature,,temperature,noun,health,chat,,build10-expanded-candidate-batch,needs_review
fever,,fever,noun,health,chat,,build10-expanded-candidate-batch,needs_review
cough,,cough,noun,health,chat,,build10-expanded-candidate-batch,needs_review
rest touba,,to rest,noun,health,chat,,build10-expanded-candidate-batch,needs_review
yamna naba,,very painful,noun,health,chat,,build10-expanded-candidate-batch,needs_review
hakchang phatte,,not well,noun,health,chat,,build10-expanded-candidate-batch,needs_review
nong,,rain,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
nong chaba,,raining,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
nongsaba,,rainy,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
numit nungshiba,,sunny,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
nungsit,,wind,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
nongpok,,east,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
nongchup,,west,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
awanglei,,north,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
kha,,south,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
ishei,,water / liquid,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
ee,,blood,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
mei,,fire,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
malem,,earth / world,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
leirol,,flower language / poetry,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
umang,,forest,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
ching,,hill,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
turel,,river,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
pat,,lake,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
thamchet,,bridge,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
thawanmichak,,star,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
thaomei,,lamp / light,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
light,,light,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
current,,electricity,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
internet,,internet,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
network,,network,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
signal,,signal,noun,nature-weather,chat,,build10-expanded-candidate-batch,needs_review
chaklen,,meal,noun,food,chat,,build10-expanded-candidate-batch,needs_review
ayuk chak,,breakfast,noun,food,chat,,build10-expanded-candidate-batch,needs_review
nungthil chak,,lunch,noun,food,chat,,build10-expanded-candidate-batch,needs_review
numidang chak,,dinner,noun,food,chat,,build10-expanded-candidate-batch,needs_review
eromba,,eromba,noun,food,chat,,build10-expanded-candidate-batch,needs_review
singju,,singju,noun,food,chat,,build10-expanded-candidate-batch,needs_review
kangsoi,,kangsoi,noun,food,chat,,build10-expanded-candidate-batch,needs_review
ngari,,fermented fish,noun,food,chat,,build10-expanded-candidate-batch,needs_review
nga,,fish,noun,food,chat,,build10-expanded-candidate-batch,needs_review
yen,,chicken,noun,food,chat,,build10-expanded-candidate-batch,needs_review
san,,cow / beef,noun,food,chat,,build10-expanded-candidate-batch,needs_review
ootti,,ooti dish,noun,food,chat,,build10-expanded-candidate-batch,needs_review
paknam,,paknam,noun,food,chat,,build10-expanded-candidate-batch,needs_review
kabok,,kabok,noun,food,chat,,build10-expanded-candidate-batch,needs_review
chini,,sugar,noun,food,chat,,build10-expanded-candidate-batch,needs_review
thum,,salt,noun,food,chat,,build10-expanded-candidate-batch,needs_review
tel,,oil,noun,food,chat,,build10-expanded-candidate-batch,needs_review
cha,,tea,noun,food,chat,,build10-expanded-candidate-batch,needs_review
coffee,,coffee,noun,food,chat,,build10-expanded-candidate-batch,needs_review
dudh,,milk,noun,food,chat,,build10-expanded-candidate-batch,needs_review
heikru,,fruit,noun,food,chat,,build10-expanded-candidate-batch,needs_review
heibong,,fruit,noun,food,chat,,build10-expanded-candidate-batch,needs_review
moru,,chilli,noun,food,chat,,build10-expanded-candidate-batch,needs_review
aloo,,potato,noun,food,chat,,build10-expanded-candidate-batch,needs_review
vegetable,,vegetable,noun,food,chat,,build10-expanded-candidate-batch,needs_review
restaurant,,restaurant,noun,food,chat,,build10-expanded-candidate-batch,needs_review
