canonical,aliases,meaning,partOfSpeech,domain,level,example,sourceTag,reviewStatus
ama,amaa|am,one / a / single,number/determiner,daily,chat,Wahei ama puthok-i.,mayekama-build8-candidate,needs_review
ani,anee,two,number,daily,chat,Wahei ani leiri.,mayekama-build8-candidate,needs_review
ahum,hum,three,number,daily,chat,Wahei ahum leiri.,mayekama-build8-candidate,needs_review
mari,malee,four,number,daily,chat,Wahei mari leiri.,mayekama-build8-candidate,needs_review
manga,mangga,five,number,daily,chat,Wahei manga leiri.,mayekama-build8-candidate,needs_review
tara,,ten,number,daily,chat,Tara suba wahei check tou-i.,mayekama-build8-candidate,needs_review
gi,gee|ki,of / possessive particle,particle,daily,chat,Manipur-gi wahei.,mayekama-build8-candidate,needs_review
da,ta|data,at / in / to,particle,daily,chat,Yum-da leiri.,mayekama-build8-candidate,needs_review
na,,by / subject marker,particle,daily,chat,Teacher-na review tou-i.,mayekama-build8-candidate,needs_review
bu,,object marker,particle,daily,chat,Nangbu eina nungshi.,mayekama-build8-candidate,needs_review
su,soo,also / too,particle,daily,chat,Eina-su chatli.,mayekama-build8-candidate,needs_review
ni,nee,is / copula,verb/particle,daily,chat,MayekAma standard ni.,mayekama-build8-candidate,needs_review
amadi,amd,or / and,conjunction,daily,chat,English amadi Roman Manipuri.,mayekama-build8-candidate,needs_review
amasung,amasunggi,and,conjunction,daily,formal,Keyboard amasung writer.,mayekama-build8-candidate,needs_review
anouba,anoba|anou, new / fresh,adjective,daily,chat,Anouba release leigani.,mayekama-build8-candidate,needs_review
ariba,ari,old,adjective,daily,chat,Ariba spelling reject tou-i.,mayekama-build8-candidate,needs_review
achouba,achoupa|achumba,big / large,adjective,daily,chat,Database achouba oigani.,mayekama-build8-candidate,needs_review
apikpa,apik|pikpa,small,adjective,daily,chat,Apikpa article ama i.,mayekama-build8-candidate,needs_review
nungai,noongai|nungay,happy / pleasant,adjective,daily,chat,Nungai oina chat tou-i.,mayekama-build8-candidate,needs_review
nungairaba,noongairaba,happy,adjective,daily,chat,Nungairaba pao puthok-i.,mayekama-build8-candidate,needs_review
leiba,leipa,to be / exist,verb,daily,chat,Data leiba check tou-i.,mayekama-build8-candidate,needs_review
leigani,leegani,will be / will exist,verb,daily,formal,API later leigani.,mayekama-build8-candidate,needs_review
lakpa,lakba,to come,verb,daily,chat,Nang lakpa matam kari?,mayekama-build8-candidate,needs_review
chatpa,chatba,to go,verb,daily,chat,School-da chatpa yare.,mayekama-build8-candidate,needs_review
touba,toba|toupa,to do,verb,daily,chat,Install touba yare.,mayekama-build8-candidate,needs_review
touri,tori|touree,doing,verb,daily,chat,Kari touri?,mayekama-build8-candidate,needs_review
toure,tore|toureh,did / done,verb,daily,chat,Kari toure?,mayekama-build8-candidate,needs_review
tougani,togani|touganee,will do,verb,daily,formal,Build 8 import tougani.,mayekama-build8-candidate,needs_review
piba,peeba,to give,verb,daily,chat,Example piba yare.,mayekama-build8-candidate,needs_review
pirakpa,peerakpa,to provide / give,verb,daily,formal,Dictionary pirakpa thourang.,mayekama-build8-candidate,needs_review
louba,loupa,to take / accept,verb,daily,chat,Standard louba yare.,mayekama-build8-candidate,needs_review
thiba,thipa,to search,verb,daily,chat,Wahei thiba yare.,mayekama-build8-candidate,needs_review
phangba,fangba,to find / receive,verb,daily,chat,Result phangba yare.,mayekama-build8-candidate,needs_review
yengba,yengpa,to see / check,verb,daily,chat,Website yengba yare.,mayekama-build8-candidate,needs_review
khangba,khangpa,to know,verb,daily,chat,Meaning khangba yare.,mayekama-build8-candidate,needs_review
paoba,paopa,to tell / announce,verb,writing,formal,Notice paoba yare.,mayekama-build8-candidate,needs_review
iba,epa,to write,verb,writing,formal,Lairik iba thourang.,mayekama-build8-candidate,needs_review
paba,papa,to read,verb,writing,formal,Article paba yare.,mayekama-build8-candidate,needs_review
semba,sempa,to make / build,verb,governance,formal,Standard semba project ni.,mayekama-build8-candidate,needs_review
semgatpa,semgatba,to develop / improve,verb,governance,formal,Database semgatpa thourang.,mayekama-build8-candidate,needs_review
changba,changpa,to enter / join,verb,daily,chat,App-da changba yare.,mayekama-build8-candidate,needs_review
thokpa,thokba,to come out / publish,verb,writing,formal,Release thokpa matam.,mayekama-build8-candidate,needs_review
hangba,hangpa,to ask,verb,daily,chat,Question hangba yare.,mayekama-build8-candidate,needs_review
paire,pairi,read / recite,verb,writing,formal,Student-na pao paire.,mayekama-build8-candidate,needs_review
kanano,kana-no,who,question word,daily,chat,Kanano lak-i?,mayekama-build8-candidate,needs_review
karigi,karigee,why,question word,daily,chat,Karigi app asi sijinnaba?,mayekama-build8-candidate,needs_review
karamna,karam-na,how,question word,daily,chat,Karamna install tougani?,mayekama-build8-candidate,needs_review
kayada,kaya-da,how much / how many,question word,daily,chat,Kayada word leiri?,mayekama-build8-candidate,needs_review
matam,matom,time,noun,daily,chat,Matam leitrabadi later tou-i.,mayekama-build8-candidate,needs_review
numit,numid,day,noun,daily,chat,Numit khudinggi sijinnaba keyboard.,mayekama-build8-candidate,needs_review
nongma,,one day,noun,daily,chat,Nongma release tougani.,mayekama-build8-candidate,needs_review
chahi,,year,noun,daily,formal,Chahi asi standard publish tou-i.,mayekama-build8-candidate,needs_review
ayuk,ayook,morning,noun,daily,chat,Ayuk-da update check tou-i.,mayekama-build8-candidate,needs_review
numidang,numitdang,afternoon,noun,daily,chat,Numidang-da test tou-i.,mayekama-build8-candidate,needs_review
nungthil,nungtil,evening,noun,daily,chat,Nungthil-da chat tou-i.,mayekama-build8-candidate,needs_review
nupa,nuppa,man,noun,daily,chat,Nupa ama lak-i.,mayekama-build8-candidate,needs_review
nupi,,woman,noun,daily,chat,Nupi ama lak-i.,mayekama-build8-candidate,needs_review
mee,mi|mi-yam,person / people,noun,daily,chat,Mee khudingmak sijinnaba yare.,mayekama-build8-candidate,needs_review
