canonical,aliases,meaning,partOfSpeech,domain,level,example,sourceTag,reviewStatus
numit khudinggi,,every day,phrase,daily-chat,chat,,build10-chat-governance-growth,needs_review
karigino,,why,question,daily-chat,chat,,build10-chat-governance-growth,needs_review
kamdouna,,how,question,daily-chat,chat,,build10-chat-governance-growth,needs_review
kayamak,,how much / how many,question,daily-chat,chat,,build10-chat-governance-growth,needs_review
karamba,,which,question,daily-chat,chat,,build10-chat-governance-growth,needs_review
leire,,is here / available,verb,daily-chat,chat,,build10-chat-governance-growth,needs_review
chabira,,will you eat?,phrase,daily-chat,chat,,build10-chat-governance-growth,needs_review
thaklibra,,are you drinking?,phrase,daily-chat,chat,,build10-chat-governance-growth,needs_review
pambi,,want,verb,daily-chat,chat,,build10-chat-governance-growth,needs_review
yarabani,,allowed / possible,phrase,daily-chat,chat,,build10-chat-governance-growth,needs_review
yare,,okay / allowed,phrase,daily-chat,chat,,build10-chat-governance-growth,needs_review
yade,,not okay / not allowed,phrase,daily-chat,chat,,build10-chat-governance-growth,needs_review
yao,,include / contain,verb,daily-chat,chat,,build10-chat-governance-growth,needs_review
yaoba,,to include,verb,daily-chat,chat,,build10-chat-governance-growth,needs_review
loubra,,will you take?,phrase,daily-chat,chat,,build10-chat-governance-growth,needs_review
pirammi,,please give,phrase,daily-chat,chat,,build10-chat-governance-growth,needs_review
thajabani,,believe / trust,verb,daily-chat,chat,,build10-chat-governance-growth,needs_review
khang-i,,know,verb,daily-chat,chat,,build10-chat-governance-growth,needs_review
khangde,,do not know,verb,daily-chat,chat,,build10-chat-governance-growth,needs_review
hang-i,,ask,verb,daily-chat,chat,,build10-chat-governance-growth,needs_review
iriba,,writing,verb,daily-chat,chat,,build10-chat-governance-growth,needs_review
tamnaba,,for learning,verb,daily-chat,chat,,build10-chat-governance-growth,needs_review
tambiba,,teach,verb,daily-chat,chat,,build10-chat-governance-growth,needs_review
nungaiba,,happiness,noun,daily-chat,chat,,build10-chat-governance-growth,needs_review
nungshiba,,to love,verb,daily-chat,chat,,build10-chat-governance-growth,needs_review
nungshibi,,love respectfully,verb,daily-chat,chat,,build10-chat-governance-growth,needs_review
thagatpa,,to thank,verb,daily-chat,chat,,build10-chat-governance-growth,needs_review
hoi,,yes / okay,particle,daily-chat,chat,,build10-chat-governance-growth,needs_review
hoi houjik,,"yes, now",phrase,daily-chat,chat,,build10-chat-governance-growth,needs_review
natte,,no / not,particle,daily-chat,chat,,build10-chat-governance-growth,needs_review
nattraga,,or / otherwise,connector,daily-chat,chat,,build10-chat-governance-growth,needs_review
maramna,,therefore,connector,daily-chat,chat,,build10-chat-governance-growth,needs_review
madu,,that thing,pronoun,daily-chat,chat,,build10-chat-governance-growth,needs_review
masi,,this thing,pronoun,daily-chat,chat,,build10-chat-governance-growth,needs_review
madu oirabadi,,if so,phrase,daily-chat,chat,,build10-chat-governance-growth,needs_review
asibasu,,this also,phrase,daily-chat,chat,,build10-chat-governance-growth,needs_review
adubusu,,that also,phrase,daily-chat,chat,,build10-chat-governance-growth,needs_review
kareigumba,,something,pronoun,daily-chat,chat,,build10-chat-governance-growth,needs_review
kadaigumba,,somewhere,pronoun,daily-chat,chat,,build10-chat-governance-growth,needs_review
ichin,,younger sibling,noun,people-relations,chat,,build10-chat-governance-growth,needs_review
tamo,,elder brother,noun,people-relations,chat,,build10-chat-governance-growth,needs_review
ine,,aunt / mother side,noun,people-relations,chat,,build10-chat-governance-growth,needs_review
ipuroi,,grandfather,noun,people-relations,chat,,build10-chat-governance-growth,needs_review
ipokpi,,grandmother,noun,people-relations,chat,,build10-chat-governance-growth,needs_review
nupamacha,,girl,noun,people-relations,chat,,build10-chat-governance-growth,needs_review
nupamacha nupa,,boy,noun,people-relations,chat,,build10-chat-governance-growth,needs_review
marup kaya,,many friends,noun,people-relations,chat,,build10-chat-governance-growth,needs_review
mi,,person,noun,people-relations,chat,,build10-chat-governance-growth,needs_review
mi pumnamak,,everyone,noun,people-relations,chat,,build10-chat-governance-growth,needs_review
leikai,,locality,noun,people-relations,chat,,build10-chat-governance-growth,needs_review
imung manung,,inside family,noun,people-relations,chat,,build10-chat-governance-growth,needs_review
sagei,,clan / family line,noun,people-relations,chat,,build10-chat-governance-growth,needs_review
khul,,village,noun,people-relations,chat,,build10-chat-governance-growth,needs_review
khunai,,society / community,noun,people-relations,chat,,build10-chat-governance-growth,needs_review
nupi marup,,female friend,noun,people-relations,chat,,build10-chat-governance-growth,needs_review
nupa marup,,male friend,noun,people-relations,chat,,build10-chat-governance-growth,needs_review
ishang,,water,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
thambal,,lotus,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
lei,,flower,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
sana,,gold,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
sen,,money,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
sel,,money / cash,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
pot,,thing / item,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
che,,paper,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
khut-yek,,handwriting,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
paokhum,,answer / response,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
wakhal,,thought,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
thouram,,programme / event,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
phampham,,place,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
road,,road,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
lampak,,ground / field,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
meiteilon,,Manipuri language,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
roman manipuri,,Roman Manipuri,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
mayekama,,MayekAma,noun,objects-places,chat,,build10-chat-governance-growth,needs_review
touriba,,doing,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
hongba,,to change / open,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
thingba,,to close / block,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
thammi,,keep / place,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
thamba,,to keep,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
loukhatpa,,to pick up / collect,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
pirak-u,,please give,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
u-ba,,to see,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
taaba,,to hear / listen,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
ngangba,,to talk,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
kapchinba,,to call,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
send touba,,to send,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
receive touba,,to receive,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
upload touba,,to upload,verb,daily-actions,chat,,build10-chat-governance-growth,needs_review
